yelp_id,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station
9LPokpPIiNCC5ilJXwX_rQ,13.0,3.0,5.0,13.0,2.0,19.0,1.0,4.0,1.0,,,13.0,3.0,,2.0,,
9MKqG6XgUEdErB5zfH5faA,13.0,5.0,18.0,20.0,2.0,31.0,7.0,3.0,4.0,1.0,1.0,5.0,3.0,,,,
9p61hOdz5-Ui3URxad6zXQ,17.0,6.0,18.0,14.0,4.0,29.0,16.0,3.0,13.0,1.0,1.0,26.0,2.0,,,,
9qCjkJvgnpzOjKLodDEMxw,33.0,16.0,40.0,60.0,6.0,14.0,46.0,,19.0,1.0,7.0,29.0,13.0,,1.0,,
A52cxall8PLq49e4chbS4w,16.0,5.0,7.0,26.0,,26.0,7.0,1.0,8.0,,1.0,5.0,1.0,1.0,1.0,,
AEtXvhDMnAHdLSpq2AXSKQ,16.0,6.0,8.0,42.0,,2.0,10.0,2.0,8.0,2.0,,4.0,5.0,,,,
APECdd5_koT_SCeFZtmBgw,6.0,1.0,6.0,20.0,,18.0,2.0,7.0,1.0,,,7.0,,,1.0,,1.0
AjB5u7SN6Heybe93KJerRg,9.0,5.0,5.0,12.0,,3.0,6.0,7.0,5.0,,,5.0,1.0,,,,
AnTgeAlqdJNdsuxFwUp08Q,27.0,12.0,10.0,33.0,,16.0,14.0,8.0,8.0,,1.0,10.0,7.0,,,,
Ap0Td6JKyKH013jqe2CLzg,3.0,3.0,3.0,16.0,2.0,31.0,8.0,6.0,5.0,,3.0,19.0,,,1.0,,
Az9zW6yZIp6Gr_yIeDr8HQ,39.0,17.0,60.0,20.0,1.0,69.0,20.0,5.0,9.0,4.0,2.0,22.0,3.0,,1.0,,
B0ZTztL-vjgm2Tc1ZxSbHg,17.0,5.0,3.0,26.0,,36.0,5.0,2.0,8.0,,2.0,14.0,,,1.0,,1.0
BPgLStNSXwFBWfgN4NNPEA,8.0,4.0,14.0,40.0,1.0,6.0,9.0,,7.0,,,6.0,7.0,,,,
BksGHqC1MhkHENSXsB98-w,32.0,20.0,35.0,11.0,1.0,60.0,21.0,2.0,2.0,,3.0,13.0,3.0,,2.0,,
BlOx7ZMCcJj9LW_rjXgG-A,20.0,6.0,10.0,17.0,1.0,19.0,8.0,11.0,2.0,,1.0,7.0,3.0,,1.0,,
BvZzEYCyjtoD9G1vFDSNaw,30.0,10.0,16.0,37.0,1.0,8.0,16.0,8.0,5.0,,,13.0,3.0,,6.0,1.0,
Bwt9AG0Uh3zdQdP-doVIFQ,8.0,2.0,11.0,16.0,2.0,39.0,3.0,6.0,11.0,,2.0,17.0,,,,,
BzMY8FGwrsLzoAMaUNCu6A,5.0,2.0,10.0,23.0,,15.0,6.0,,5.0,,,3.0,1.0,,,,
C-fUZt8ebNhak8guQX5B8w,8.0,2.0,11.0,46.0,,25.0,8.0,,3.0,,2.0,4.0,1.0,1.0,,,
C5lIHzyytQSBjZVVWWyS5g,13.0,6.0,1.0,17.0,1.0,28.0,6.0,6.0,6.0,,,10.0,1.0,,,,
CCUEBkzBjdtlSyN9JS97BA,8.0,,29.0,15.0,,15.0,7.0,3.0,5.0,,,4.0,1.0,1.0,,,
CR3dPONyM_-rea2m7_oCjw,47.0,24.0,39.0,68.0,5.0,16.0,43.0,6.0,23.0,1.0,6.0,35.0,14.0,1.0,2.0,,1.0
CniL0Mpi-VceOsoJbEWbdQ,7.0,6.0,3.0,18.0,,13.0,5.0,6.0,2.0,1.0,,,3.0,,,,
CwE4HOuj9Ww-pUEx8JauLw,10.0,1.0,10.0,17.0,,19.0,14.0,8.0,3.0,2.0,,7.0,3.0,,,,
DBwamokFOkRlhGeaf7AmBg,13.0,1.0,4.0,10.0,,34.0,4.0,10.0,,,,2.0,,,,,
DIIkt-9jIHdGO1_F2Bj9Nw,21.0,10.0,24.0,26.0,5.0,24.0,15.0,9.0,9.0,1.0,1.0,24.0,4.0,1.0,1.0,,
DK_-WdFdbCFWtkNbm4FZyg,17.0,7.0,18.0,25.0,1.0,37.0,15.0,4.0,5.0,,6.0,18.0,4.0,1.0,2.0,,
DqFCebx35s9pD2f3nXW5xQ,5.0,,3.0,11.0,,,2.0,6.0,4.0,,,5.0,1.0,,,,
DrQgIMe9fKfNvvHoXO8Y0w,8.0,1.0,4.0,12.0,1.0,15.0,4.0,6.0,6.0,,,7.0,2.0,,1.0,,
E2De90kZUtXIS2dy-vn1yg,40.0,16.0,32.0,58.0,8.0,16.0,45.0,3.0,19.0,1.0,5.0,34.0,9.0,,4.0,,
ESLf6HuYFdx7do4gKGA_eQ,16.0,6.0,10.0,13.0,5.0,18.0,8.0,4.0,7.0,1.0,1.0,19.0,2.0,1.0,,,1.0
E_fLWfnyIIx73R7cHjYfjA,67.0,45.0,62.0,45.0,6.0,83.0,58.0,1.0,19.0,4.0,5.0,36.0,8.0,3.0,,,
Eau961yW93F1Lpq30eiiAw,16.0,18.0,35.0,20.0,3.0,35.0,15.0,,12.0,1.0,1.0,25.0,5.0,,3.0,,
EdBDiiAQT79gGGLLWCqTXA,8.0,3.0,3.0,16.0,2.0,2.0,6.0,1.0,1.0,,,4.0,4.0,,,,
ElveZlpnnOh0vhJdx5ixdA,32.0,10.0,21.0,35.0,3.0,59.0,15.0,5.0,10.0,,1.0,9.0,,,1.0,,
EodTSFN1IuhLuOli4ihw9g,19.0,8.0,42.0,11.0,1.0,30.0,9.0,6.0,3.0,1.0,3.0,7.0,2.0,,1.0,,
EqS6fXx7RS1LNZ8kiLi8TQ,65.0,61.0,70.0,80.0,9.0,33.0,65.0,2.0,26.0,1.0,14.0,55.0,14.0,5.0,1.0,,
EtbyqGgGm0XZobXVU6YQog,19.0,11.0,8.0,14.0,2.0,12.0,6.0,6.0,3.0,1.0,,3.0,8.0,,2.0,,
Ex1h-4bLEQW4v8-b-kYTLg,28.0,18.0,14.0,8.0,1.0,24.0,9.0,3.0,5.0,1.0,,4.0,6.0,,,,
F68WYHOhPQV3APC-jPXUyQ,18.0,5.0,13.0,8.0,1.0,11.0,8.0,7.0,4.0,2.0,4.0,3.0,2.0,,2.0,,
FZYX1JYZrki-cBX601u3pA,23.0,13.0,23.0,24.0,1.0,26.0,8.0,1.0,4.0,1.0,,20.0,4.0,,1.0,,
Fg-jR09sz4GulKJmw5ceoQ,14.0,5.0,4.0,7.0,,5.0,6.0,7.0,10.0,,,9.0,1.0,,,,
FioFvBhgVPV2dZW3mxjxQQ,27.0,8.0,3.0,32.0,,40.0,12.0,,16.0,,,22.0,1.0,,2.0,,
GHwrW5kaLCAtf0yXnETl7A,65.0,63.0,66.0,62.0,7.0,34.0,59.0,1.0,22.0,3.0,17.0,40.0,11.0,3.0,,,
GJwqAynHNqaEm4pixA9meA,7.0,3.0,14.0,27.0,1.0,10.0,10.0,,2.0,2.0,,3.0,8.0,,,,
GK8YWuqjNkVaW1x-D4PdnA,19.0,15.0,9.0,16.0,2.0,11.0,11.0,5.0,5.0,,,5.0,12.0,,,,
GQOhYffF4-3piZxrDrnTTA,14.0,3.0,16.0,2.0,3.0,14.0,13.0,2.0,,1.0,1.0,1.0,3.0,,,,
GfRADWmmaDCV3VdPj5-2vQ,13.0,8.0,3.0,8.0,1.0,2.0,8.0,7.0,4.0,,,6.0,,,,,
