yelp_id,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station
_vQ_8nNHiHsMqzSor-qFWw,1.0,,1.0,4.0,1.0,4.0,3.0,1.0,2.0,,,2.0,1.0,,,,
a-5Jd4irVqkaxRs-AQ-HGw,14.0,,19.0,15.0,3.0,22.0,8.0,2.0,9.0,1.0,1.0,15.0,,1.0,1.0,,
aCcbphL6dRHOYGpgxVxlEg,12.0,7.0,4.0,17.0,1.0,15.0,12.0,3.0,1.0,1.0,1.0,1.0,4.0,,1.0,,
aDrlnNcZtCmHyfFVu4_G9Q,22.0,11.0,28.0,20.0,1.0,15.0,15.0,1.0,11.0,,,5.0,3.0,1.0,2.0,,
aKI2Ei3ffX6P_y295BDgRQ,44.0,22.0,60.0,11.0,1.0,53.0,32.0,,11.0,4.0,21.0,15.0,6.0,3.0,,,
aO1XK9zHD9S_0zV3GtOGEw,2.0,1.0,4.0,5.0,3.0,10.0,4.0,1.0,,,,2.0,2.0,,,,
aP8uA6LkzBc4q2R0RBRTtA,3.0,2.0,2.0,1.0,2.0,16.0,3.0,1.0,4.0,,,7.0,1.0,1.0,,,
aWt7HEBCyhrKQCeC8BPAjw,15.0,3.0,11.0,22.0,3.0,11.0,16.0,2.0,2.0,2.0,,1.0,9.0,,1.0,,
acsAA3N6md89jqgWE0B7nQ,16.0,3.0,11.0,12.0,,25.0,5.0,2.0,6.0,,,7.0,2.0,,,,
aguz4N77GReqFushBdhVsw,23.0,7.0,58.0,19.0,3.0,29.0,13.0,2.0,18.0,,3.0,18.0,,1.0,1.0,,
arwOOqaQWKVlSqFXoeImew,6.0,,1.0,1.0,,4.0,2.0,2.0,,,,1.0,,,,,
axeT144_-6Z4Hui-lDbAUQ,49.0,25.0,60.0,11.0,2.0,60.0,43.0,,11.0,4.0,19.0,17.0,7.0,3.0,,,
axnuD2onVoJY7C8y-7ywYw,20.0,4.0,34.0,8.0,,36.0,21.0,,12.0,1.0,5.0,13.0,3.0,,,,
b2voZVlouByHQlCUauhytg,13.0,6.0,36.0,9.0,3.0,16.0,12.0,,5.0,,1.0,3.0,,1.0,1.0,,
bHu90zj_Wrf4UnMDOexo9Q,13.0,1.0,10.0,12.0,,25.0,12.0,,2.0,,1.0,2.0,10.0,1.0,2.0,,
b_hegY8tsG27MbQSfIB_ow,27.0,15.0,12.0,23.0,1.0,25.0,8.0,,7.0,1.0,,6.0,7.0,1.0,1.0,,
b_sT0QJvudIaLnAnY7KIpQ,,,2.0,,,,,,,,,1.0,,,,,
bibwEKWWSyB422Ap-t7Sdw,17.0,9.0,17.0,30.0,1.0,21.0,11.0,3.0,11.0,,,8.0,1.0,,1.0,,
c-PhA7dl4u45CCQJge9wuw,4.0,,1.0,3.0,,10.0,2.0,2.0,1.0,,,,,,,,
c8rBVjwFJmRBHyYHT_UNhw,3.0,,1.0,1.0,,6.0,1.0,3.0,,,,,,,,,
cRHXug5ja_xSTgIxXYOC9g,12.0,2.0,23.0,13.0,1.0,36.0,14.0,2.0,16.0,,1.0,8.0,1.0,1.0,1.0,,
cSDCS9l9sY5tc_ULQQMogA,30.0,15.0,11.0,6.0,,27.0,11.0,,4.0,2.0,,10.0,6.0,1.0,,,
cWwiWQRn243qju4FOMnlzQ,,,3.0,1.0,,4.0,2.0,,1.0,,,,1.0,,1.0,,
canGGUCtoW_i4kQGiwnamg,39.0,17.0,22.0,42.0,3.0,60.0,17.0,3.0,9.0,2.0,1.0,10.0,4.0,2.0,1.0,,2.0
cgpfIEZBChUrG7IauI52qw,8.0,1.0,4.0,9.0,4.0,7.0,6.0,3.0,2.0,,,9.0,2.0,,,,
cjrSEaVGsIfL0TVUtYLTNQ,3.0,,1.0,,,6.0,1.0,3.0,,,,,,,,,
clV4TsDUa0WAUYChiDYxtQ,11.0,2.0,16.0,11.0,,34.0,6.0,1.0,9.0,,2.0,12.0,,1.0,1.0,,
