yelp_id,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station
G8A98MjW3zIv3uJt6NfRDQ,17.0,1.0,4.0,29.0,1.0,33.0,10.0,1.0,1.0,1.0,,21.0,,2.0,2.0,,
GA5msU6NO9rQRctPfDJCBg,20.0,4.0,9.0,57.0,1.0,33.0,17.0,2.0,6.0,,,29.0,2.0,1.0,2.0,,
GBxnLvHAbpv9YU4GWfkASw,16.0,8.0,15.0,33.0,1.0,22.0,14.0,1.0,5.0,,,18.0,3.0,,2.0,,
GHkB_07oqzmGNnwJ9NjqDQ,22.0,7.0,4.0,15.0,,8.0,7.0,4.0,8.0,2.0,,3.0,1.0,,,,1.0
GIaAkos69sLQ1zf_Nhjpyw,,,3.0,,1.0,3.0,4.0,2.0,,,,,,,,,
GJXGdJlCroyRTmCxsz3i6Q,4.0,,7.0,,1.0,8.0,3.0,,,,,,,,,,1.0
GJnYFvk9kbM182bKMFSAvg,,,3.0,4.0,,3.0,1.0,,,,,4.0,,,,,
GKFy5-4dVxkKxjWZ3dBDbw,21.0,11.0,24.0,31.0,,25.0,10.0,2.0,6.0,,,12.0,2.0,,4.0,,2.0
GMmhKLXJez77lrkwBWu6nw,26.0,5.0,17.0,25.0,,29.0,10.0,2.0,6.0,,,8.0,5.0,2.0,3.0,,
GW42yOQB6G97Pc0KujI3lA,22.0,5.0,15.0,21.0,2.0,23.0,12.0,3.0,2.0,,,16.0,3.0,2.0,2.0,,1.0
GXM9LNceu2QRSgtoVHAB-Q,8.0,4.0,3.0,8.0,,18.0,2.0,2.0,4.0,1.0,,6.0,3.0,,,,
GXW2ADbOJKLry33sRaH9mw,46.0,10.0,60.0,60.0,10.0,32.0,60.0,,28.0,4.0,14.0,60.0,4.0,4.0,3.0,,
GXq2Qsm--A7QQt9rTXldig,8.0,,3.0,6.0,,24.0,1.0,1.0,1.0,,,4.0,1.0,,,,
GZvelhGenbfJxc4_SG_RJw,60.0,42.0,60.0,48.0,7.0,23.0,60.0,,27.0,19.0,13.0,60.0,24.0,5.0,4.0,,
GlUp8Ls2x2vToByiAtSnYw,8.0,5.0,,4.0,,8.0,3.0,3.0,1.0,,,2.0,,,,,
GlZKE1IrwfezpV_ZCvQWZA,21.0,16.0,19.0,56.0,2.0,15.0,10.0,1.0,7.0,,,20.0,1.0,,4.0,,
GvI6UCd6sf_I4p2hAE2gjA,16.0,4.0,27.0,18.0,2.0,16.0,17.0,1.0,14.0,2.0,1.0,40.0,,1.0,4.0,1.0,
GvUe_zEV-8zJOuP89NZVUA,8.0,4.0,7.0,17.0,,,2.0,,3.0,,,4.0,1.0,,1.0,,
GvXRLqZKw6vC8zBCDXnyhQ,11.0,8.0,5.0,17.0,,16.0,7.0,,1.0,,,1.0,6.0,,1.0,,
H-6xYovzB8AKZb14bmYnWg,14.0,9.0,15.0,6.0,,13.0,10.0,,1.0,,2.0,18.0,,,1.0,,
H1jops1lmuhrq9lP7lEGJQ,39.0,14.0,39.0,60.0,10.0,37.0,28.0,1.0,27.0,2.0,6.0,60.0,2.0,2.0,2.0,,
HD0e3eHwv573qHZOJJitWg,44.0,17.0,60.0,60.0,15.0,23.0,60.0,,34.0,9.0,21.0,39.0,16.0,5.0,2.0,,
HHkTmzDBE9sGWvtSW9Ne8A,20.0,6.0,8.0,31.0,,24.0,18.0,2.0,1.0,,,20.0,2.0,1.0,3.0,,
