yelp_id,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station
3uDzNKECZ1czmputz4lR8g,12.0,2.0,4.0,40.0,,13.0,5.0,2.0,4.0,1.0,,3.0,1.0,,,,
3ud8TaQCzxOa_lT5JYNuWQ,12.0,4.0,1.0,8.0,1.0,16.0,5.0,3.0,4.0,,,1.0,1.0,,1.0,,
3vgNw2PEIM8GE5ltbRiyow,6.0,,1.0,13.0,,10.0,2.0,5.0,1.0,,,3.0,1.0,,,,
3wLmWg7VpSIt7LAmQmhIdA,29.0,6.0,57.0,41.0,3.0,56.0,30.0,,15.0,3.0,2.0,15.0,18.0,1.0,4.0,,
3xFHEzWiKOKNKJvFaCfukA,40.0,22.0,38.0,60.0,3.0,18.0,40.0,2.0,12.0,3.0,1.0,13.0,6.0,,1.0,,
3yFKvXnK_C-k4JCTCBKKlQ,6.0,1.0,8.0,10.0,2.0,6.0,4.0,,4.0,,,3.0,,,,,
3ywidUIEzwIe7L3rhCyC1Q,1.0,,,9.0,,9.0,1.0,1.0,,,,10.0,2.0,,,,
43WlGXdyrAID5svFJk60ag,4.0,1.0,2.0,1.0,,10.0,2.0,,2.0,,,,1.0,,,,
475B8CgA0vgPPaiuLv0IpA,2.0,1.0,2.0,4.0,,,,,1.0,,,2.0,1.0,,,,
48kRqVlHBhLQZj29XC3oJg,7.0,,7.0,,,22.0,3.0,,1.0,,,,2.0,,,,
4CkGTDKtJwtePkBzYHR0Hw,10.0,3.0,7.0,27.0,,,7.0,,8.0,1.0,,3.0,2.0,,,,
4GBnXG__jDRwi9bYs7fnvw,13.0,11.0,17.0,21.0,2.0,28.0,10.0,,5.0,,,23.0,3.0,1.0,1.0,,
4K6PvzR_eMQpEZmJatFOHQ,10.0,3.0,1.0,6.0,1.0,16.0,4.0,3.0,4.0,,,1.0,,,1.0,,
4LFbJ8P4jCh70ZNKRig0qw,13.0,15.0,27.0,36.0,1.0,26.0,35.0,1.0,5.0,,1.0,36.0,10.0,1.0,,,
4Loo2VFJCl_LzedcmhypOQ,4.0,2.0,5.0,4.0,1.0,7.0,8.0,,,1.0,,,9.0,,,,
4LptA7lZJLKMuEgT6ZzMxQ,9.0,6.0,8.0,26.0,,9.0,5.0,1.0,7.0,1.0,,13.0,3.0,,,,
4MNpF8yY9moFqUbpyzulIQ,37.0,18.0,60.0,50.0,2.0,60.0,55.0,1.0,17.0,2.0,2.0,26.0,15.0,1.0,2.0,,
4PNMra_UvU5FrHkX3gboZg,1.0,,1.0,2.0,1.0,35.0,2.0,1.0,,,1.0,,,,,,
4PoO44hdEUP4XaHjGzgN1g,12.0,4.0,1.0,17.0,1.0,8.0,3.0,4.0,6.0,,,1.0,2.0,,2.0,,
4QjMp6h-W6r4j_HP1COjiQ,4.0,1.0,2.0,5.0,,7.0,1.0,3.0,,,,1.0,1.0,,,,
4RR6S_wO12Q_Uaw3gBRugg,11.0,8.0,3.0,27.0,2.0,9.0,7.0,5.0,13.0,,,12.0,3.0,,,,
4Rs_S2Q21A1K4yuzpahFsQ,25.0,9.0,39.0,24.0,8.0,40.0,27.0,,11.0,2.0,6.0,14.0,5.0,,1.0,,
4Vy2B3n4XQTdBO--sly7WA,9.0,2.0,2.0,13.0,1.0,12.0,3.0,7.0,3.0,2.0,1.0,8.0,1.0,,1.0,,
4W-qE1rQPCYPyil18t8AEg,9.0,,19.0,18.0,1.0,8.0,10.0,4.0,4.0,,,2.0,4.0,,1.0,,
4W00cA8LQobxlk8Zj9aJaA,25.0,11.0,37.0,52.0,6.0,32.0,28.0,,22.0,5.0,4.0,9.0,12.0,,,,
4Zx7Lw4U6F0sXrV4aiIyqQ,,,2.0,2.0,,16.0,,,2.0,,3.0,1.0,,,,,
4apjfMyMPSfBlcce4GjvgQ,1.0,1.0,1.0,3.0,1.0,11.0,2.0,,,1.0,,7.0,,,2.0,,
4bYyADqJTALCQ5XmAycWew,1.0,,,1.0,,16.0,1.0,,,,,5.0,1.0,,3.0,,
4e0zttTdUqDP2DkgD8JLtQ,6.0,3.0,1.0,7.0,1.0,7.0,2.0,,4.0,,,4.0,1.0,,,,
